timestamp_iso,timestamp_unix,type,severity,metric_name,value,unit,deviation_std,is_anomaly,message,block_number,tx_hash,details
2026-01-27T06:33:11Z,1769495591,GAS_NORMAL,info,gas_per_second,2055.59,MGas/s,0.2,False,,,,
2026-01-27T06:33:11Z,1769495591,TPS_NORMAL,info,tps,21.09,K TPS,0.16,False,,,,
2026-01-27T06:33:11Z,1769495591,BLOCK_TIME_NORMAL,info,block_interval,9.22,ms,-0.93,False,,,,
2026-01-27T06:40:11Z,1769496011,GAS_NORMAL,info,gas_per_second,2054.68,MGas/s,0.18,False,,,,
2026-01-27T06:40:11Z,1769496011,TPS_NORMAL,info,tps,21.08,K TPS,0.15,False,,,,
2026-01-27T06:40:11Z,1769496011,BLOCK_TIME_NORMAL,info,block_interval,9.209,ms,-1.04,False,,,,
2026-01-27T06:47:11Z,1769496431,GAS_NORMAL,info,gas_per_second,2054.55,MGas/s,0.18,False,,,,
2026-01-27T06:47:11Z,1769496431,TPS_NORMAL,info,tps,21.08,K TPS,0.15,False,,,,
2026-01-27T06:47:11Z,1769496431,BLOCK_TIME_NORMAL,info,block_interval,9.221,ms,-0.92,False,,,,
2026-01-27T06:54:11Z,1769496851,GAS_NORMAL,info,gas_per_second,2057.59,MGas/s,0.26,False,,,,
2026-01-27T06:54:11Z,1769496851,TPS_NORMAL,info,tps,21.11,K TPS,0.19,False,,,,
2026-01-27T06:54:11Z,1769496851,BLOCK_TIME_NORMAL,info,block_interval,9.218,ms,-0.95,False,,,,
2026-01-27T07:01:11Z,1769497271,GAS_NORMAL,info,gas_per_second,2054.44,MGas/s,0.17,False,,,,
2026-01-27T07:01:11Z,1769497271,TPS_NORMAL,info,tps,21.08,K TPS,0.14,False,,,,
2026-01-27T07:01:11Z,1769497271,BLOCK_TIME_NORMAL,info,block_interval,9.214,ms,-0.99,False,,,,
2026-01-27T07:08:11Z,1769497691,GAS_NORMAL,info,gas_per_second,2053.31,MGas/s,0.14,False,,,,
2026-01-27T07:08:11Z,1769497691,TPS_NORMAL,info,tps,21.07,K TPS,0.12,False,,,,
2026-01-27T07:08:11Z,1769497691,BLOCK_TIME_NORMAL,info,block_interval,9.207,ms,-1.05,False,,,,
2026-01-27T07:15:11Z,1769498111,GAS_NORMAL,info,gas_per_second,2054.17,MGas/s,0.17,False,,,,
2026-01-27T07:15:11Z,1769498111,TPS_NORMAL,info,tps,21.08,K TPS,0.14,False,,,,
2026-01-27T07:15:11Z,1769498111,BLOCK_TIME_NORMAL,info,block_interval,9.211,ms,-1.01,False,,,,
2026-01-27T07:22:11Z,1769498531,GAS_NORMAL,info,gas_per_second,2056.0,MGas/s,0.22,False,,,,
2026-01-27T07:22:11Z,1769498531,TPS_NORMAL,info,tps,21.1,K TPS,0.17,False,,,,
2026-01-27T07:22:11Z,1769498531,BLOCK_TIME_NORMAL,info,block_interval,9.208,ms,-1.04,False,,,,
2026-01-27T07:29:11Z,1769498951,GAS_NORMAL,info,gas_per_second,2056.06,MGas/s,0.22,False,,,,
2026-01-27T07:29:11Z,1769498951,TPS_NORMAL,info,tps,21.1,K TPS,0.17,False,,,,
2026-01-27T07:29:11Z,1769498951,BLOCK_TIME_NORMAL,info,block_interval,9.225,ms,-0.88,False,,,,
2026-01-27T07:36:11Z,1769499371,GAS_NORMAL,info,gas_per_second,2054.82,MGas/s,0.18,False,,,,
2026-01-27T07:36:11Z,1769499371,TPS_NORMAL,info,tps,21.09,K TPS,0.16,False,,,,
